SURVEY:   LSST
SNID:             52  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       60.813679  # deg (avg among obs)
DEC:      -50.480045  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0103 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.048 0.038 0.026 0.019 0.015 0.013  # MW mag-XT per band
PEAKMJD:  61708.266     # estimate for LC fit codes
MJD_TRIGGER:       61700.211  
MJD_DETECT_FIRST:  61698.316  
MJD_DETECT_LAST:   61759.234  

REDSHIFT_HELIO:   0.335661 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.335508 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           10824    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.33655 
SIM_REDSHIFT_CMB:    0.33640  
SIM_REDSHIFT_HOST:       0.33655    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.2360   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              60.813679     # deg  
SIM_DEC:             -50.480045      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0103   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.026     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61710.520    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -0.357    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.15  # days 
SIM_TRESTMAX:        36.45  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 -9.000 21.658 21.738 21.910 22.468  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 67 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61698.3159 LSST-r DDF  1.08021e+02  2.8242e+00 4096  1.000 32.590  1.38 5.868e+01  22.3826 
OBS: 61698.3273 LSST-i DDF  1.03240e+02  3.4410e+00 4096  1.000 32.440  1.39 6.296e+01  22.4954 
OBS: 61700.2092 LSST-i DDF  1.21040e+02  2.0939e+00 6144  1.000 34.150  2.33 1.123e+02  22.2667 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61700.2109
OBS: 61700.2190 LSST-r DDF  1.40462e+02  1.5165e+00 4096  1.000 34.240  2.46 8.087e+01  22.1339 
OBS: 61700.2285 LSST-Y DDF  9.65891e+01  7.6135e+00 4096  1.000 32.640  1.84 1.318e+02  22.6266 
OBS: 61700.2381 LSST-z DDF  1.15704e+02  2.4610e+00 4096  1.000 34.040  1.67 1.677e+02  22.3536 
OBS: 61704.3526 LSST-r DDF  1.97129e+02  3.6785e+00 4096  1.000 31.730  1.71 2.505e+01  21.7591 
OBS: 61705.2647 LSST-r DDF  2.03891e+02  2.6566e+00 4096  1.000 32.480  1.84 3.359e+01  21.7156 
OBS: 61705.3369 LSST-i DDF  1.78883e+02  3.4644e+00 4096  1.000 32.410  1.63 5.052e+01  21.8788 
OBS: 61705.3484 LSST-z DDF  1.61027e+02  5.8048e+00 4096  1.000 32.080  1.56 6.874e+01  21.9997 
OBS: 61707.2540 LSST-i DDF  1.89279e+02  1.2836e+00 4096  1.000 34.170  1.32 1.108e+02  21.8001 
OBS: 61707.2637 LSST-r DDF  2.11988e+02  1.0948e+00 4096  1.000 34.240  1.64 7.503e+01  21.6804 
OBS: 61707.2784 LSST-z DDF  1.67264e+02  2.1250e+00 4096  1.000 34.040  1.45 1.629e+02  21.9441 
OBS: 61708.2639 LSST-r DDF  2.19628e+02  3.7438e+00 4096  1.000 31.730  1.81 2.370e+01  21.6688 
OBS: 61708.2877 LSST-i DDF  1.98979e+02  5.1816e+00 4096  1.000 31.660  1.76 3.510e+01  21.7716 
OBS: 61709.3163 LSST-r DDF  2.15499e+02  3.5921e+00 4096  1.000 31.730  1.68 2.412e+01  21.6606 
OBS: 61710.2491 LSST-r DDF  2.15854e+02  3.7553e+00 4096  1.000 31.730  1.82 2.377e+01  21.6585 
OBS: 61714.1725 LSST-r DDF  2.06652e+02  3.6167e+00 4096  1.000 31.750  1.57 2.695e+01  21.6990 
OBS: 61714.1967 LSST-i DDF  2.00254e+02  4.5241e+00 4096  1.000 31.660  1.45 3.604e+01  21.7553 
OBS: 61715.2390 LSST-i DDF  1.98208e+02  1.9823e+00 4096  1.000 34.160  2.21 1.102e+02  21.7707 
OBS: 61715.2488 LSST-r DDF  2.05983e+02  1.1853e+00 4096  1.000 34.230  1.84 7.491e+01  21.7265 
OBS: 61715.2583 LSST-Y DDF  1.09777e+02  8.0961e+00 4096  1.000 32.650  2.00 1.301e+02  22.5558 
OBS: 61715.2679 LSST-z DDF  1.59544e+02  2.8110e+00 4096  1.000 34.040  1.96 1.630e+02  21.9573 
OBS: 61716.2896 LSST-i DDF  1.86023e+02  4.9681e+00 4096  1.000 31.660  1.67 3.541e+01  21.7890 
OBS: 61716.3141 LSST-z DDF  1.54674e+02  7.7829e+00 4096  1.000 31.340  1.50 4.838e+01  21.9818 
OBS: 61718.1688 LSST-r DDF  1.92528e+02  4.7314e+00 4096  1.000 31.830  1.56 4.232e+01  21.8248 
OBS: 61718.1931 LSST-i DDF  1.92046e+02  5.8934e+00 4096  1.000 31.690  1.66 4.464e+01  21.8299 
OBS: 61719.3587 LSST-Y DDF  6.41032e+01  3.2570e+01    0  1.000 30.200  1.72 6.406e+01  22.7164 
OBS: 61720.2282 LSST-z DDF  1.34983e+02  9.5312e+00 4096  1.000 31.350  1.68 5.429e+01  22.1417 
